Region,Product,UnitOfMeasure,UnitPrice,Category,Notes,SKU_ID,Price
asia-southeast1,Nvidia H100 80GB GPU attached to Spot Preemptible VMs running in Singapore,hour,7.0045,CPU,7.0045 USD per 1 hour,skus/6012-C7D6-4721,0.0942
us-central1,Nvidia Tesla A100 80GB GPU running in Americas,hour,3.92808,CPU,,skus/EDA0-3A70-3138,0.92808
asia-southeast1,Nvidia Tesla A100 80GB GPU running in Singapore,hour,4.846072,CPU,,skus/1C49-8ADA-54A8,0.846072
asia-southeast1,Nvidia H100 80GB GPU running in Singapore,hour,12.735516,CPU,12.735516 USD per 1 hour,skus/A26F-44D0-9A76,0.735516
asia-east1,Active Logical Storage (asia-east1),gibibyte month,0.0,Application,"0.00 USD (Free) per 1 gibibyte month, for 0 to 10 gibibyte month, per 1 month per account
0.02 USD per 1 gibibyte month, for 10 gibibyte month and above, per 1 month per account",skus/C493-D992-4C50,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '10'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 20000000}}]"
asia-east1,Long Term Logical Storage (asia-east1),gibibyte month,0.0,Application,"0.00 USD (Free) per 1 gibibyte month, for 0 to 10 gibibyte month, per 1 month per account
0.01 USD per 1 gibibyte month, for 10 gibibyte month and above, per 1 month per account",skus/F66C-C62E-214A,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '10'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 10000000}}]"
asia-east1,Artifact Registry Storage,gibibyte month,0.0,Application,"0.00 USD (Free) per 1 gibibyte month, for 0 gibibyte month to 0.5 gibibyte month, per 1 month per account
0.10 USD per 1 gibibyte month, for 0.5 gibibyte month and above, per 1 month per account",skus/8502-299A-ABAF,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '0.5'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 100000000}}]"
asia-east1,CPU Allocation Time,vCPU-second,2.4e-05,Application,Cloud Run 0.0864 USD per 1 hour,skus/4856-B847-F1EB,2.4e-05
asia-east1,CPU Allocation Time (Always-on CPU) in asia-east1,vCPU-second,1.8e-05,Application,Cloud Run 0.0648 USD per 1 hour,skus/57B1-D3F9-2D68,1.8e-05
asia-east1,Cloud Load Balancer Forwarding Rule Minimum for Taiwan (asia-east1),hour,0.025,Application,,skus/FA8C-51C0-A961,0.025
asia-east1,Cloud Run GOOGLE-API Data Transfer Out,gibibyte,0.0,Network,Cloud Run,skus/0CCB-7057-48DE,0.0
asia-east1,Cloud SQL for MySQL: Regional - RAM in APAC,gibibyte hour,0.014,Application,Cloud SQL,skus/3658-3590-0FE5,0.014
asia-east1,Cloud SQL for MySQL: Regional - Standard storage in APAC,gibibyte month,0.34,Application,Cloud SQL,skus/7EAC-0EC7-8136,0.34
asia-east1,Cloud SQL for MySQL: Regional - vCPU in APAC,hour,0.0826,Application,Cloud SQL,skus/F3D9-7F4B-CDDD,0.0826
asia-east1,E2 Instance Core running in APAC,hour,0.025255,CPU,,skus/92C8-7C92-6AEF,0.02525538
asia-east1,E2 Instance Ram running in APAC,gibibyte hour,0.003385,CPU,,skus/FD4D-A383-8DAB,0.00338514
asia-east1,Filestore Capacity Zonal and High Scale Taiwan,gibibyte month,0.28,Storage,,skus/39C4-08CC-B85D,0.28
asia-east1,Idle Min-Instance CPU Allocation Time,vCPU-second,3e-06,Application,Cloud Run 0.009 USD per 1 hour,skus/7EBB-8579-2C98,2.5e-06
asia-east1,Idle Min-Instance Memory Allocation Time,GiB-second,3e-06,Application,Cloud Run 0.009 USD per 1 gibibyte hour,skus/740D-08F2-7A11,2.5e-06
asia-east1,Intra-region data delivery,gibibyte,0.0,Application,Cloud Pub/Sub,skus/460A-7826-0471,0.0
asia-east1,Licensing Fee for Container-Optimized OS - PCID Whitelisted on f1-micro,hour,0.0,Application,,skus/7744-6E7B-EFEC,0.0
asia-east1,Licensing Fee for Container-Optimized OS from Google on f1-micro,hour,0.0,Application,,not found,-1
asia-east1,Licensing Fee for Shielded COS on f1-micro,hour,0.0,Application,,not found,-1
asia-east1,Memory Allocation Time,GiB-second,3e-06,Application,Cloud Run 0.009 USD per 1 gibibyte hour,skus/02A2-9231-36A6,2.5e-06
asia-east1,Memory Allocation Time (Always-on CPU) in asia-east1,GiB-second,2e-06,Application,Cloud Run 0.0072 USD per 1 gibibyte hour,skus/772F-131D-E8F9,2e-06
asia-east1,Message Delivery Basic,tebibyte,0.0,Application,"Cloud Pub/Sub
0.00 USD (Free) per 1 tebibyte, for 0 gibibyte to 10 gibibyte, per 1 month per account
40.00 USD per 1 tebibyte, for 10 gibibyte and above, per 1 month per account",skus/027D-B6C7-CCA2,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '0.009765625'}, 'listPrice': {'currencyCode': 'USD', 'units': '40'}}]"
asia-east1,Micro Instance with burstable CPU running in APAC,hour,0.009,CPU,,skus/E3EE-02EB-33B4,0.009
asia-east1,N2D AMD Instance Core running in APAC,hour,0.031844,CPU,,skus/EF6C-66BA-C9C6,0.031844
asia-east1,N2D AMD Instance Ram running in APAC,gibibyte hour,0.004268,CPU,,skus/FFF7-7A42-F2E8,0.004268
asia-east1,Network Data Transfer In from Google Services from APAC to APAC,gibibyte,0.0,Network,,skus/212E-B31F-3BF6,0.0
asia-east1,Network HTTP Load Balancing Data Transfer In from Load Balancer,gibibyte,0.0,Network,,not found,-1
asia-east1,Network HTTP Load Balancing Data Transfer Out to Load Balancer,gibibyte,0.0,Network,,not found,-1
asia-east1,Network Inter Zone Data Transfer Out in APAC,gibibyte,0.0,Network,,skus/55F2-D22D-0EDD,0.0
asia-east1,On-demand fee for total VM network bandwidth up to 50 Gbps in Taiwan,hour,0.519839,Application,,skus/3774-2460-5BF3,0.519839
asia-east1,Regional Internal Passthrough Network Load Balancer Inbound Data Processing for Taiwan (asia-east1),gibibyte,0.008,Application,,skus/5707-7CAE-35F4,0.008
asia-east1,Regional Internal Passthrough Network Load Balancer Outbound Data Processing for Taiwan (asia-east1),gibibyte,0.008,Application,,skus/BFA8-3ACD-BBEC,0.008
asia-east1,Requests,Requests,0.0,Application,"0.00 USD (Free) per 1,000,000 count, for 0 count to 2,000,000 count, per 1 month per account
0.40 USD per 1,000,000 count, for 2,000,000 count and above, per 1 month per account",skus/C1D7-0735-5EC4,0.0
asia-east1,Secret access operations,count,0.0,Application,"Security Manager
0.00 USD (Free) per 10,000 count, for 0 count to 10,000 count, per 1 month per account
0.03 USD per 10,000 count, for 10,000 count and above, per 1 month per account",skus/EBA7-264F-2D2C,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '10000'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 30000000}}]"
us-central1,Secret version replica storage,month,0.0,Application,"Security Manager
0.00 USD (Free) per 1 month, for 0 month to 6 month, per 1 month per account
0.06 USD per 1 month, for 6 month and above, per 1 month per account",skus/7756-ADEF-84F4,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '6'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 60000000}}]"
asia-east1,Dataplex Metadata Storage Taiwan,gibibyte month,2.0,Application,2.00 USD per 1 gibibyte month,skus/B97D-CFAC-C7EA,0.0
asia-east1,Standard Storage Asia Regional,gibibyte month,0.02,Storage,,skus/BAE2-255B-64A7,0.02
asia-east1,Storage PD Snapshot,gibibyte month,0.05,Application,,skus/817F-F5A3-514E,0.05
asia-east1,Topics message backlog,gibibyte month,0.27,Application,Cloud Pub/Sub,skus/F9EB-D3E1-ABDF,0.27
